Status;Año - mes;Descripción SAP ;Nombre Lean;SAP;División;Marca;Tipo de Actividad;Clasificación;NPS;Nº APO;TON;Nº Rolling;TONxRolling;120;90;60;30;;;;;;;;;;;
1;2025-01;SBUX SMTH CARA SRP 12x51g B11;SBUX NESP Caramel;6221411;Dolce Gusto- Sbux;Sbux By Nespresso;Innovaciones;Sabores;12.430;1472,350001;4,9;;4,9;1;1;1;1;;;;;;;;;;;
1;2025-02;NIDOKND1+ NIDO1+ CP 3(1.5kg+360g) N1 MX;NIDOKND1+ 1.5kg+360g;12413322;Leches De Crecimiento;Nido Kinder;In&Out;Ofertas Armadas;7;8602,15054;48;48;0;1;1;1;1;;;;;;;;;;;
1;2025-02;TASTER'S CHOICEGourmet120x250gPR2TazasMX;Taster’s Choice Gourmet 250g  Taza;12417258;Cafés;Tasters;In&Out;Ofertas Armadas + Promocional;26;362,857143;21;10;11;1;1;1;1;;;;;;;;;;;
1;2025-02;NESCAFECapp+NESCMokaCP300x612gPR132gMX;Cappu 24 stick original + 6 de Moka;12447403;Cafés;Cappuccino;In&Out;Jirafas;20;206,034309;53;20;33;1;1;1;1;;;;;;;;;;;
1;2025-02;NIDO Deslactosada Lata 6x1.92kgPR320g+MX;NIDO Deslactosada .92kg;12450012;Nido Fortificada;Nido Fortificada;In&Out;Jirafas;5;2777,777776;32;43;-11;1;1;1;1;;;;;;;;;;;
1;2025-02;CARNATION Polvo Doypack24x520gPR60g+N1MX;Carnation jirafa 520g;12462744;Lácteos Culinarios;Carnation;In&Out;Jirafas;10.773;8360,97756;92;92;0;1;1;1;1;;;;;;;;;;;
1;2025-02;NutriRindesDoypackLE24x520gPR60g+MX;NutriRindes 520g;12462751;Leches De Crecimiento;Nutri Rindes;In&Out;Jirafas;17.600.000;14799,6795;185;;185;1;1;1;1;;;;;;;;;;;
1;2025-02;NESCAFE CLASICO Lata 4x1.1kg PR100g+ MX;Nescafé Clásico 1kg+100gr;12493455;Nestlé Professional;Nescafé Clásico;In&Out;Ofertas Armadas;;;;;;1;1;1;1;;;;;;;;;;;
1;2025-02;CONSOMATE Caldo Pollo TomP1(24x105g)N2MX;Consomate 8+2;12512846;Culinarios;Consomate;In&Out;Ofertas Armadas;8.000.000;24007,93652;48,4;48;0,4;1;1;1;1;;;;;;;;;;;
1;2025-02;NESCAFEDECAF+COFFEMATECP264(300g+160g)MX; Decaf & CFMT  (300g+160g);12518314;Cafés;Decaf;In&Out;Ofertas Armadas + Promocional;31;465,999999;60;38;22;1;1;1;1;;;;;;;;;;;
1;2025-02;NESQUIK ChocNF PlvDoypack18x500gPR100gMX;Nesquik 500g;12553930;Modificadores;Nesquik;In&Out;Jirafas;9.463;10694,44446;77;77;0;1;1;1;1;;;;;;;;;;;
1;2025-02;MAGGI MixerMiche 180x980ml PRValentinaMX;Miche 980ml + Valentina Clubes;12556030;Nestlé Professional;Maggi Miche;In&Out;Ofertas Armadas;;0;;;;1;1;1;1;;;;;;;;;;;
1;2025-02;MORELIAPRESIDENCIALChoc8x840gPR140g+N1M;Morelia 840g;12565680;Modificadores;Morelia;In&Out;Jirafas;12.448;32413;158;159;-1;1;1;1;1;;;;;;;;;;;
1;2025-02;MORELIA PRESIDENCIALBsa24x445gPR88g+N1MX;Morelia 445g;12565682;Modificadores;Morelia;In&Out;Jirafas;12.341;17157,29397;135;131;4;1;1;1;1;;;;;;;;;;;
1;2025-02;NESQUIK PowderChoc Doypack24x411gPR54gMX;Nesquik 411g;12573982;Modificadores;Nesquik;In&Out;Jirafas;2.484;12335,99998;23;76;-53;1;1;1;1;;;;;;;;;;;
1;2025-02;NIDO KINDER 1+ Nectar 3(1.4kg+360g)PrEMX;NIDO KINDER 1+ 1.4kg+360g;12575878;Leches De Crecimiento;Nido Kinder;In&Out;Ofertas Armadas;14.025.510;21666,99999;220055;90;219965;1;1;1;1;;;;;;;;;;;
